#RANK,#TYPE,#FORM,#SENSE,#NUMBER,#PERSON,#GENDER,ENG,<language>
0,interjection,,,,,,Hello,
0,interjection,,,,,,"Good morning",
0,phrase,,,,,,"Good afternoon",
0,phrase,,,,,,"Good evening",
0,phrase,,,,,,"My name is $name",
0,phrase,,,,,,"What is your name?",
0,question,,,,,,"How are you?",
0,answer,,,,,,"I am well",
0,interjection,,,,,,"Excuse me",
0,adverb,,,,,,Please,
0,interjection,,,,,,"Thank you",
0,interjection,,,,,,"No problem",
0,question,,,,,,"Where are you from?",
0,answer,,,,,,"I am from $place",
0,interjection,,,,,,Goodbye,
0,interjection,,,,,,Goodnight,
0,question,,,,,,"Where is the $transport to $place?",
0,noun,,,,,,bus,
0,noun,,,,,,train,
0,noun,,,,,,car
0,noun,,,,,,station
0,noun,,,,,,plain,
0,noun,,,,,,metro,
0,noun,,,,,,tram,
0,question,,,,,,"What is the way to $place?",
0,phrase,,,,,,"I would like $thing",
0,question,,,,,,"How much does $thing cost?",
0,pronoun,,,,,,it,
0,determiner,,,,,,this,
0,determiner,,,,,,that,
0,preposition,,,,,,here,
0,preposition,,,,,,there,
0,adjective,,,,,,near,
0,adjective,,,,,,far,
0,number,cardinal,,0,,,zero,
0,number,cardinal,,1,,,one,
0,number,cardinal,,2,,,two,
0,number,cardinal,,3,,,three,
0,number,cardinal,,4,,,four,
0,number,cardinal,,5,,,five,
0,number,cardinal,,6,,,six,
0,number,cardinal,,7,,,seven,
0,number,cardinal,,8,,,eight,
0,number,cardinal,,9,,,nine,
0,number,cardinal,,10,,,ten,
0,number,cardinal,,11,,,eleven,
0,number,cardinal,,12,,,twelve,
0,number,cardinal,,13,,,thirteen,
0,number,cardinal,,14,,,fourteen,
0,number,cardinal,,15,,,fifteen,
0,number,cardinal,,16,,,sixteen,
0,number,cardinal,,17,,,seventeen,
0,number,cardinal,,18,,,eighteen,
0,number,cardinal,,19,,,nineteen,
0,number,cardinal,,20,,,twenty,
0,number,cardinal,,21,,,twenty-one,
0,number,cardinal,,30,,,thirty,
0,number,cardinal,,40,,,forty,
0,number,cardinal,,50,,,fifty,
0,number,cardinal,,60,,,sixty,
0,number,cardinal,,70,,,seventy,
0,number,cardinal,,80,,,eighty,
0,number,cardinal,,90,,,ninety,
0,number,cardinal,,100,,,hundred,
0,number,cardinal,,1000,,,thousand,
0,number,cardinal,,1000000,,,million,
0,number,cardinal,,1000000000,,,billion,
0,number,ordinal,,1,,,first,
0,number,ordinal,,2,,,second,
0,number,ordinal,,3,,,third,
0,number,ordinal,,4,,,fourth,
0,number,ordinal,,5,,,fifth,
0,number,ordinal,,6,,,sixth,
0,number,ordinal,,7,,,seventh,
0,number,ordinal,,8,,,eighth,
0,number,ordinal,,9,,,ninth,
0,number,ordinal,,10,,,tenth,
0,number,ordinal,,11,,,eleventh,
0,number,ordinal,,12,,,twelvth,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
0,,,,,,,,
1,verb,present,indicative,singular,1,,am,
1,verb,present,indicative,singular,2,,"are, art",
1,verb,present,indicative,singular,3,,is,
1,verb,present,indicative,plural,1,,are,
1,verb,present,indicative,plural,2,,are,
1,verb,present,indicative,plural,3,,are,
1,verb,present,indicative,singular,1,,have,
1,verb,present,indicative,singular,2,,have,
1,verb,present,indicative,singular,3,,has,
1,verb,present,indicative,plural,1,,have,
1,verb,present,indicative,plural,2,,have,
1,verb,present,indicative,plural,3,,have,
1,verb,present,indicative,singular,1,,"to be called",
1,pronoun,nominative,,singular,1,,I,
1,pronoun,nominative,,singular,2,,you,
1,pronoun,nominative,,singular,3,masculine,he,
1,pronoun,nominative,,singular,3,feminine,she,
1,pronoun,nominative,,plural,1,,we,
1,pronoun,nominative,,plural,2,,you,
1,pronoun,nominative,,plural,3,feminine,they,
1,pronoun,nominative,,plural,3,masculine,they,
